Country,Date last updated,C_cum,R_cum,D_cum,Suspected,I_cum
Australia,2020-01-23,0,0,0,1,0
Australia,2020-01-25,9,0,0,0,9
Australia,2020-01-26,4,0,0,0,4
Brazil,2020-01-23,0,0,0,1,0
Canada,2020-01-26,1,0,0,0,1
China,2020-01-22,0,0,0,0,0
Colombia,2020-01-23,0,0,0,1,0
France,2020-01-24,2,0,0,0,2
France,2020-01-25,9,0,0,0,9
France,2020-01-26,3,0,0,0,3
Hong Kong,2020-01-23,2,0,0,65,2
Hong Kong,2020-01-24,4,0,0,72,4
Hong Kong,2020-01-25,15,0,0,524,15
Hong Kong,2020-01-26,8,0,0,244,8
Japan,2020-01-21,1,0,0,0,1
Japan,2020-01-22,2,0,0,0,2
Japan,2020-01-23,1,0,0,0,1
Japan,2020-01-24,4,0,0,0,4
Japan,2020-01-25,6,0,0,0,6
Japan,2020-01-26,4,1,0,0,3
Macau,2020-01-23,2,0,0,0,2
Macau,2020-01-24,4,0,0,0,4
Macau,2020-01-25,6,0,0,0,6
Macau,2020-01-26,5,0,0,0,5
Mainland China,2020-01-21,327,0,0,169,327
Mainland China,2020-01-22,549,0,0,137,549
Mainland China,2020-01-23,639,30,18,67,591
Mainland China,2020-01-24,1781,70,52,202,1659
Mainland China,2020-01-25,4698,126,139,359,4433
Mainland China,2020-01-26,2062,49,56,139,1957
Malaysia,2020-01-23,0,0,0,4,0
Malaysia,2020-01-25,9,0,0,0,9
Malaysia,2020-01-26,4,0,0,0,4
Mexico,2020-01-23,0,0,0,1,0
Nepal,2020-01-25,3,0,0,0,3
Nepal,2020-01-26,1,0,0,0,1
Philippines,2020-01-23,0,0,0,4,0
Singapore,2020-01-23,1,0,0,0,1
Singapore,2020-01-24,4,0,0,0,4
Singapore,2020-01-25,9,0,0,0,9
Singapore,2020-01-26,4,0,0,0,4
South Korea,2020-01-21,1,0,0,0,1
South Korea,2020-01-22,1,0,0,0,1
South Korea,2020-01-23,1,0,0,0,1
South Korea,2020-01-24,3,0,0,0,3
South Korea,2020-01-25,7,0,0,0,7
South Korea,2020-01-26,3,0,0,0,3
Taiwan,2020-01-23,1,0,0,0,1
Taiwan,2020-01-24,4,0,0,0,4
Taiwan,2020-01-25,9,0,0,0,9
Taiwan,2020-01-26,4,0,0,0,4
Thailand,2020-01-21,2,0,0,0,2
Thailand,2020-01-22,2,0,0,0,2
Thailand,2020-01-23,3,0,0,0,3
Thailand,2020-01-24,9,0,0,0,9
Thailand,2020-01-25,19,0,0,0,19
Thailand,2020-01-26,8,2,0,0,6
US,2020-01-22,1,0,0,0,1
US,2020-01-23,1,0,0,0,1
US,2020-01-24,3,0,0,0,3
US,2020-01-25,6,0,0,0,6
US,2020-01-26,3,0,0,0,3
United States,2020-01-21,1,0,0,0,1
Vietnam,2020-01-23,2,0,0,0,2
Vietnam,2020-01-24,4,0,0,0,4
Vietnam,2020-01-25,6,0,0,0,6
Vietnam,2020-01-26,2,0,0,0,2
